timestamp,benchmark,task,backend,model,num_samples,metric,value,duration_s,prompt_version,config_hash,git_sha
2026-09-10T11:23:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,aa,0.000000,14.51,1.1.0,b0e0e192f55f,
2026-09-10T11:23:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/binary,0.000000,14.51,1.1.0,b0e0e192f55f,
2026-09-10T11:23:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/mcq,0.000000,14.51,1.1.0,b0e0e192f55f,
2026-09-10T11:23:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n,200.000000,14.51,1.1.0,b0e0e192f55f,
2026-09-10T11:23:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/binary,119.000000,14.51,1.1.0,b0e0e192f55f,
2026-09-10T11:23:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/mcq,81.000000,14.51,1.1.0,b0e0e192f55f,
2026-09-10T11:23:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,oa,0.000000,14.51,1.1.0,b0e0e192f55f,
2026-09-10T11:23:39+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,aa,0.003521,19.10,1.1.0,febb9815b313,
2026-09-10T11:23:39+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/change_or_not,0.028169,19.10,1.1.0,febb9815b313,
2026-09-10T11:23:39+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/change_ratio,0.000000,19.10,1.1.0,febb9815b313,
2026-09-10T11:23:39+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/change_ratio_types,0.000000,19.10,1.1.0,febb9815b313,
